StudyHours,SleepHours,SocialMediaHours,ExerciseHours,PlayHours,AttendancePercentage,PreviousMarks,AttentionLevel,TestMarks
5.2,6.3,2.9,0.0,1.2,85.8,70.8,4.4,69.5
4.3,6.7,2.8,0.3,2.2,84.5,75.6,4.5,62.9
5.5,6.4,1.4,0.5,1.4,92.6,73.4,4.6,72.6
6.8,7.1,3.2,0.9,1.6,97.3,57.2,6.4,74.1
4.1,8.2,0.7,1.3,2.0,90.5,68.1,6.0,73.7
4.1,6.2,1.7,1.1,1.5,93.1,76.5,4.5,70.1
6.9,8.0,0.1,0.2,0.2,83.3,74.2,6.9,93.6
5.7,6.2,4.4,0.6,2.2,86.0,62.2,3.6,58.2
3.8,6.2,2.2,0.8,2.4,96.9,74.2,3.7,73.5
5.3,7.8,5.1,0.7,0.2,89.2,79.1,3.3,53.5
3.8,7.9,3.5,0.7,0.8,83.1,60.2,3.8,57.1
3.8,7.9,3.0,0.0,2.9,85.3,50.4,3.5,44.4
4.9,5.7,1.8,0.2,1.7,93.3,87.7,4.7,69.7
1.6,6.5,1.2,0.6,1.5,94.0,73.2,1.6,47.9
1.9,7.8,3.1,0.0,1.2,78.3,65.4,2.6,40.8
3.7,7.0,2.4,1.1,0.8,87.9,65.1,3.7,55.6
3.0,5.9,0.9,0.1,1.4,84.9,71.5,3.7,71.7
5.0,7.5,0.7,1.1,2.2,84.5,80.4,7.1,74.8
3.1,6.3,1.3,1.1,1.5,95.6,54.9,4.9,52.8
2.4,8.8,4.7,0.5,1.9,83.1,66.0,2.5,48.3
6.7,8.5,5.2,1.3,2.7,80.4,86.5,5.2,73.3
4.2,7.6,2.7,1.2,1.1,78.5,78.2,4.1,73.5
4.6,8.4,2.7,0.6,1.7,83.6,77.4,4.9,66.9
2.4,7.1,2.1,0.6,2.2,79.1,74.1,3.7,44.0
3.7,7.8,1.4,1.3,0.8,78.1,73.1,4.4,60.4
4.7,8.5,4.2,0.9,1.6,77.9,65.3,5.2,57.8
2.8,7.2,4.7,1.3,2.8,78.4,64.4,3.0,40.6
5.1,6.7,1.4,0.0,1.3,78.9,78.1,5.5,68.8
3.6,5.3,2.4,0.8,2.2,88.2,64.6,3.5,57.3
4.1,6.9,2.0,0.0,1.4,69.3,72.8,3.8,58.6
3.6,7.8,2.0,0.8,2.8,79.4,71.5,5.0,55.6
7.3,7.9,3.9,1.2,0.3,84.2,91.9,5.8,83.7
4.5,7.5,0.9,1.7,1.5,94.2,68.4,4.9,78.3
